Date,Balance
22 May 2020,$119.26 CR
22 May 2020,$89.26 CR
22 May 2020,$119.26 CR
22 May 2020,$102.78 CR
22 May 2020,$89.78 CR
23 May 2020,$76.65 CR
23 May 2020,$62.81 CR
24 May 2020,$82.81 CR
25 May 2020,$112.81 CR
26 May 2020,$50.67 CR
26 May 2020,$48.81 CR
27 May 2020,$39.02 CR
28 May 2020,$8.12 CR
29 May 2020,$735.12 CR
29 May 2020,$8.12 CR
29 May 2020,$26.12 CR
31 May 2020,$51.12 CR
03 Jun 2020,"$3,051.12 CR"
04 Jun 2020,"$3,031.13 CR"
04 Jun 2020,"$3,006.76 CR"
05 Jun 2020,"$2,977.78 CR"
05 Jun 2020,"$2,961.63 CR"
06 Jun 2020,"$2,950.32 CR"
06 Jun 2020,"$2,913.63 CR"
06 Jun 2020,"$2,859.24 CR"
08 Jun 2020,"$2,829.24 CR"
08 Jun 2020,"$2,679.24 CR"
09 Jun 2020,"$2,628.24 CR"
09 Jun 2020,"$2,616.25 CR"
09 Jun 2020,"$2,593.05 CR"
09 Jun 2020,"$2,528.31 CR"
09 Jun 2020,"$2,526.37 CR"
09 Jun 2020,"$2,508.77 CR"
09 Jun 2020,"$2,486.28 CR"
09 Jun 2020,"$2,463.08 CR"
10 Jun 2020,"$2,404.35 CR"
10 Jun 2020,"$2,402.59 CR"
10 Jun 2020,"$2,386.14 CR"
11 Jun 2020,"$2,345.14 CR"
11 Jun 2020,"$2,199.56 CR"
12 Jun 2020,"$2,187.68 CR"
12 Jun 2020,"$2,177.77 CR"
12 Jun 2020,"$2,161.62 CR"
13 Jun 2020,"$1,961.62 CR"
13 Jun 2020,"$1,940.92 CR"
14 Jun 2020,"$1,920.92 CR"
15 Jun 2020,"$1,193.92 CR"
16 Jun 2020,"$1,208.92 CR"
16 Jun 2020,"$1,177.92 CR"
16 Jun 2020,"$1,143.87 CR"
16 Jun 2020,"$1,112.87 CR"
16 Jun 2020,"$1,081.87 CR"
17 Jun 2020,"$1,012.37 CR"
17 Jun 2020,$970.87 CR
17 Jun 2020,$949.37 CR
18 Jun 2020,"$2,941.73 CR"
18 Jun 2020,"$2,887.81 CR"
18 Jun 2020,"$2,886.01 CR"
19 Jun 2020,"$2,809.11 CR"
19 Jun 2020,"$2,765.11 CR"
19 Jun 2020,"$2,724.61 CR"
19 Jun 2020,"$2,674.61 CR"
19 Jun 2020,"$2,658.46 CR"
20 Jun 2020,"$2,651.16 CR"
20 Jun 2020,"$2,650.94 CR"
20 Jun 2020,"$2,623.44 CR"
20 Jun 2020,"$2,502.44 CR"
21 Jun 2020,"$2,492.95 CR"
23 Jun 2020,"$2,450.96 CR"
23 Jun 2020,"$2,350.96 CR"
23 Jun 2020,"$2,330.96 CR"
24 Jun 2020,"$2,303.71 CR"
24 Jun 2020,"$2,192.66 CR"
24 Jun 2020,"$2,189.33 CR"
24 Jun 2020,"$2,161.33 CR"
25 Jun 2020,"$2,133.43 CR"
26 Jun 2020,"$2,113.44 CR"
26 Jun 2020,"$2,097.29 CR"
27 Jun 2020,"$2,076.04 CR"
27 Jun 2020,"$1,992.84 CR"
27 Jun 2020,"$1,983.07 CR"
28 Jun 2020,"$1,888.89 CR"
29 Jun 2020,$210.89 CR
30 Jun 2020,$144.89 CR
30 Jun 2020,$109.89 CR
30 Jun 2020,$98.19 CR
