Date,Balance
03 May 2019,"$5,464.76 CR"
03 May 2019,"$5,448.61 CR"
04 May 2019,"$5,413.62 CR"
04 May 2019,"$5,392.36 CR"
07 May 2019,"$5,354.31 CR"
07 May 2019,"$5,303.31 CR"
08 May 2019,"$5,257.91 CR"
08 May 2019,"$5,228.31 CR"
08 May 2019,"$5,222.32 CR"
08 May 2019,"$5,177.82 CR"
09 May 2019,"$5,131.32 CR"
10 May 2019,"$5,078.32 CR"
10 May 2019,"$5,044.32 CR"
10 May 2019,"$5,028.17 CR"
11 May 2019,"$4,983.37 CR"
12 May 2019,"$4,975.42 CR"
14 May 2019,"$4,940.52 CR"
14 May 2019,"$4,910.52 CR"
14 May 2019,"$4,869.52 CR"
14 May 2019,"$4,835.67 CR"
15 May 2019,"$4,811.72 CR"
15 May 2019,"$4,768.81 CR"
15 May 2019,"$4,767.52 CR"
15 May 2019,"$4,731.52 CR"
15 May 2019,"$4,706.52 CR"
16 May 2019,"$4,585.76 CR"
17 May 2019,"$4,569.61 CR"
18 May 2019,"$4,562.62 CR"
18 May 2019,"$4,522.62 CR"
21 May 2019,"$4,508.62 CR"
21 May 2019,"$4,469.63 CR"
22 May 2019,"$4,465.63 CR"
22 May 2019,"$4,449.18 CR"
22 May 2019,"$4,396.68 CR"
22 May 2019,"$4,360.68 CR"
22 May 2019,"$4,298.63 CR"
22 May 2019,"$4,258.36 CR"
22 May 2019,"$4,184.80 CR"
22 May 2019,"$4,145.81 CR"
23 May 2019,"$4,107.81 CR"
24 May 2019,"$4,073.81 CR"
24 May 2019,"$4,033.81 CR"
24 May 2019,"$4,024.81 CR"
24 May 2019,"$4,015.81 CR"
24 May 2019,"$4,001.81 CR"
24 May 2019,"$3,985.81 CR"
24 May 2019,"$3,969.81 CR"
24 May 2019,"$3,937.81 CR"
24 May 2019,"$3,905.81 CR"
24 May 2019,"$3,873.81 CR"
24 May 2019,"$3,841.81 CR"
24 May 2019,"$3,776.41 CR"
24 May 2019,"$3,759.26 CR"
24 May 2019,"$3,758.75 CR"
24 May 2019,"$3,742.60 CR"
25 May 2019,"$3,703.80 CR"
25 May 2019,"$3,667.81 CR"
26 May 2019,"$3,628.82 CR"
27 May 2019,"$3,078.82 CR"
28 May 2019,"$3,033.34 CR"
28 May 2019,"$3,000.35 CR"
28 May 2019,"$2,955.85 CR"
29 May 2019,"$2,911.35 CR"
29 May 2019,"$2,824.85 CR"
29 May 2019,"$2,773.35 CR"
29 May 2019,"$2,765.35 CR"
29 May 2019,"$2,749.35 CR"
29 May 2019,"$2,733.35 CR"
29 May 2019,"$2,713.35 CR"
29 May 2019,"$2,693.35 CR"
29 May 2019,"$2,645.35 CR"
29 May 2019,"$2,637.35 CR"
29 May 2019,"$2,634.10 CR"
29 May 2019,"$2,595.11 CR"
30 May 2019,"$2,575.76 CR"
30 May 2019,"$2,564.46 CR"
30 May 2019,"$2,534.96 CR"
30 May 2019,"$2,501.66 CR"
30 May 2019,"$2,461.53 CR"
31 May 2019,"$2,426.83 CR"
31 May 2019,"$2,410.68 CR"
01 Jun 2019,"$2,375.69 CR"
01 Jun 2019,"$2,340.79 CR"
01 Jun 2019,"$2,311.79 CR"
01 Jun 2019,"$2,301.79 CR"
02 Jun 2019,"$2,262.80 CR"
04 Jun 2019,"$2,226.15 CR"
04 Jun 2019,"$2,184.15 CR"
04 Jun 2019,"$2,149.25 CR"
04 Jun 2019,"$2,112.26 CR"
05 Jun 2019,"$2,077.36 CR"
05 Jun 2019,"$2,042.46 CR"
05 Jun 2019,"$1,975.63 CR"
06 Jun 2019,"$1,940.73 CR"
07 Jun 2019,"$1,934.74 CR"
07 Jun 2019,"$1,918.59 CR"
08 Jun 2019,"$1,883.69 CR"
08 Jun 2019,"$1,846.70 CR"
08 Jun 2019,"$1,807.70 CR"
08 Jun 2019,"$1,770.71 CR"
11 Jun 2019,"$1,739.71 CR"
11 Jun 2019,"$1,710.21 CR"
12 Jun 2019,"$1,675.31 CR"
12 Jun 2019,"$1,639.31 CR"
12 Jun 2019,"$1,623.06 CR"
12 Jun 2019,"$1,586.07 CR"
12 Jun 2019,"$1,546.07 CR"
12 Jun 2019,"$1,507.08 CR"
13 Jun 2019,"$1,470.08 CR"
13 Jun 2019,"$1,444.23 CR"
14 Jun 2019,"$1,409.33 CR"
14 Jun 2019,"$1,366.22 CR"
14 Jun 2019,"$1,364.93 CR"
14 Jun 2019,"$1,301.17 CR"
14 Jun 2019,"$1,270.27 CR"
14 Jun 2019,"$1,231.28 CR"
14 Jun 2019,"$1,215.13 CR"
15 Jun 2019,"$1,178.73 CR"
15 Jun 2019,"$1,141.74 CR"
15 Jun 2019,"$1,106.84 CR"
17 Jun 2019,"$1,051.86 CR"
18 Jun 2019,"$1,014.87 CR"
18 Jun 2019,$977.92 CR
18 Jun 2019,$965.17 CR
18 Jun 2019,$465.17 CR
19 Jun 2019,$486.02 CR
19 Jun 2019,$468.05 CR
19 Jun 2019,$451.05 CR
19 Jun 2019,$424.30 CR
19 Jun 2019,$406.40 CR
19 Jun 2019,$399.41 CR
19 Jun 2019,$363.36 CR
19 Jun 2019,$318.36 CR
19 Jun 2019,$274.46 CR
19 Jun 2019,$239.56 CR
19 Jun 2019,$200.57 CR
19 Jun 2019,$184.92 CR
20 Jun 2019,$179.92 CR
20 Jun 2019,$148.42 CR
20 Jun 2019,$187.42 CR
20 Jun 2019,$214.42 CR
21 Jun 2019,$241.62 CR
21 Jun 2019,$214.42 CR
21 Jun 2019,$197.97 CR
21 Jun 2019,$158.98 CR
21 Jun 2019,$178.98 CR
21 Jun 2019,$162.83 CR
21 Jun 2019,$178.98 CR
21 Jun 2019,$173.98 CR
21 Jun 2019,$200.98 CR
22 Jun 2019,$306.08 CR
23 Jun 2019,$289.08 CR
23 Jun 2019,$309.08 CR
25 Jun 2019,$273.08 CR
25 Jun 2019,$231.59 CR
25 Jun 2019,$214.50 CR
25 Jun 2019,$213.99 CR
25 Jun 2019,$195.24 CR
25 Jun 2019,$154.24 CR
25 Jun 2019,$73.24 CR
26 Jun 2019,$38.34 CR
28 Jun 2019,$6.04 CR
28 Jun 2019,$1.46 DR
28 Jun 2019,$6.04 CR
28 Jun 2019,$1.04 CR
