revenue,potential_revenue,pl_inventory_percentage
5.27,5.27,0.0
113.58,128.57,-13.2
189.18,264.26,-39.69
443.32,689.49,-55.53
294.97,454.99,-54.25
286.44,389.63,-36.02
397.86,575.07,-44.54
578.44,786.76,-36.01
10.97,15.47,-41.02
280.99,393.04,-39.88
518.18,680.29,-31.28
660.87,960.31,-45.31
347.75,453.2,-30.32
79.35,136.53,-72.06
338.33,429.89,-27.06
571.19,834.49,-46.1
750.63,1107.62,-47.56
219.24,339.42,-54.82
511.31,667.75,-30.6
673.32,974.82,-44.78
449.96,565.1,-25.59
87.89,120.82,-37.47
564.0,876.3,-55.37
591.23,941.65,-59.27
587.81,754.97,-28.44
196.09,311.46,-58.84
571.63,912.76,-59.68
0.0,0.0,0.0
262.1,420.79,-60.55
346.91,443.28,-27.78
595.71,721.93,-21.19
773.02,957.06,-23.81
315.83,391.87,-24.08
537.29,708.77,-31.92
378.38,564.92,-49.3
366.35,669.06,-82.63
0.0,0.0,0.0
576.45,785.26,-36.22
560.57,818.74,-46.05
88.65,112.84,-27.29
420.44,660.7,-57.14
88.79,140.12,-57.81
384.65,525.77,-36.69
506.58,680.55,-34.34
382.13,533.27,-39.55
643.62,882.11,-37.05
79.02,137.55,-74.07
537.64,770.96,-43.4
526.32,825.74,-56.89
512.92,730.0,-42.32
391.16,598.58,-53.03
32.24,44.74,-38.77
540.06,707.42,-30.99
570.67,820.82,-43.83
201.84,339.5,-68.2
356.21,442.56,-24.24
525.48,710.68,-35.24
406.64,549.71,-35.18
198.53,288.63,-45.38
707.93,983.54,-38.93
439.99,584.61,-32.87
392.26,508.89,-29.73
488.14,691.02,-41.56
369.94,451.38,-22.01
714.47,962.9,-34.77
212.82,292.78,-37.57
113.1,236.34,-108.97
256.37,343.23,-33.88
557.53,820.49,-47.17
352.26,445.49,-26.47
489.58,733.97,-49.92
264.53,360.34,-36.22
89.47,96.91,-8.32
303.08,428.37,-41.34
297.13,486.63,-63.78
74.99,111.02,-48.05
817.47,1094.44,-33.88
543.25,916.59,-68.72
595.62,815.89,-36.98
433.95,648.42,-49.42
43.72,67.2,-53.71
289.8,369.99,-27.67
22.27,49.76,-123.44
566.08,698.92,-23.47
614.92,900.64,-46.46
