Name,Form,Temper,Temper Code,Tensile Strength,Thermal ConductivityBtu/ sq ft/ ft hr/ °F at 68°F,Cu(1.2.3,Pb,Zn,Fe,P,Ag,As,O,Sb,Te,Ni,Bi,Cd,sn,S,Mn,Zr,Mg,Co,Al,Be,Cr,Si,Ti,Ca,Li,B,C
C17500 beryllium copper,Rod,Solution Heat Treated,TB00,45,120,96.4,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.55,0.2,0.55,0,0.2,0,0,0,0,0
C17500 beryllium copper,Rod,Solution Heat Treated and Cold Worked: Hard,TD04,72,120,96.4,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.55,0.2,0.55,0,0.2,0,0,0,0,0
C17500 beryllium copper,Tube,Hard and Precipitation Heat Treated,TH04,110,120,96.4,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.55,0.2,0.55,0,0.2,0,0,0,0,0
C17500 beryllium copper,Tube,Precipitation Hardened,TF00,100,120,96.4,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.55,0.2,0.55,0,0.2,0,0,0,0,0
C17500 beryllium copper,Tube,Solution Heat Treated,TB00,35,120,96.4,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.55,0.2,0.55,0,0.2,0,0,0,0,0
C17500 beryllium copper,Tube,Solution Heat Treated and Cold Worked: Hard,TD04,65,120,96.4,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.55,0.2,0.55,0,0.2,0,0,0,0,0
C17510 Beryllium copper,Flat Products,1/2 Hard and Precipitation Heat Treated,TH02,115,120,98.8,0,0,0.1,0,0,0,0,0,0,1.8,0,0,0,0,0,0,0,0.3,0.2,0.4,0,0.2,0,0,0,0,0
C17510 Beryllium copper,Flat Products,Hard and Precipitation Heat Treated,TH04,115,120,98.8,0,0,0.1,0,0,0,0,0,0,1.8,0,0,0,0,0,0,0,0.3,0.2,0.4,0,0.2,0,0,0,0,0
C17510 Beryllium copper,Flat Products,Precipitation Hardened,TF00,110,120,98.8,0,0,0.1,0,0,0,0,0,0,1.8,0,0,0,0,0,0,0,0.3,0.2,0.4,0,0.2,0,0,0,0,0
C17510 Beryllium copper,Flat Products,Solution Heat Treated,TB00,45,120,98.8,0,0,0.1,0,0,0,0,0,0,1.8,0,0,0,0,0,0,0,0.3,0.2,0.4,0,0.2,0,0,0,0,0
C17510 Beryllium copper,Flat Products,Solution Heat Treated and Cold Worked: 1/2 Hard,TD02,68,120,98.8,0,0,0.1,0,0,0,0,0,0,1.8,0,0,0,0,0,0,0,0.3,0.2,0.4,0,0.2,0,0,0,0,0
C17510 Beryllium copper,Flat Products,Solution Heat Treated and Cold Worked: Hard,TD04,78,120,98.8,0,0,0.1,0,0,0,0,0,0,1.8,0,0,0,0,0,0,0,0.3,0.2,0.4,0,0.2,0,0,0,0,0
C17510 Beryllium copper,Forgings,Precipitation Hardened,TF00,115,120,98.8,0,0,0.1,0,0,0,0,0,0,1.8,0,0,0,0,0,0,0,0.3,0.2,0.4,0,0.2,0,0,0,0,0
C17510 Beryllium copper,Forgings,Solution Heat Treated,TB00,42,120,98.8,0,0,0.1,0,0,0,0,0,0,1.8,0,0,0,0,0,0,0,0.3,0.2,0.4,0,0.2,0,0,0,0,0
C17510 Beryllium copper,Rod,Hard and Precipitation Heat Treated,TH04,115,120,98.8,0,0,0.1,0,0,0,0,0,0,1.8,0,0,0,0,0,0,0,0.3,0.2,0.4,0,0.2,0,0,0,0,0
C17510 Beryllium copper,Rod,Precipitation Hardened,TF00,110,120,98.8,0,0,0.1,0,0,0,0,0,0,1.8,0,0,0,0,0,0,0,0.3,0.2,0.4,0,0.2,0,0,0,0,0
C17510 Beryllium copper,Rod,Solution Heat Treated,TB00,45,120,98.8,0,0,0.1,0,0,0,0,0,0,1.8,0,0,0,0,0,0,0,0.3,0.2,0.4,0,0.2,0,0,0,0,0
C17510 Beryllium copper,Rod,Solution Heat Treated and Cold Worked: Hard,TD04,72,120,98.8,0,0,0.1,0,0,0,0,0,0,1.8,0,0,0,0,0,0,0,0.3,0.2,0.4,0,0.2,0,0,0,0,0
C17530 Beryllium copper,Flat Products,Hard and Precipitation Heat Treated,TH04,115,90,96.45,0,0,0.2,0,0,0,0,0,0,2.25,0,0,0,0,0,0,0,0,0.6,0.3,0,0.2,0,0,0,0,0
C17540*,Forgings,Hard and Precipitation Heat Treated,TH04,120,135,95.95,0,0,0.2,0,0,0,0,0,0,1.55,0,0,0,0,0,0,0,1.55,0,0.55,0,0.2,0,0,0,0,0
C17540*,Forgings,Hard and Precipitation Heat Treated,TH05,120,135,95.95,0,0,0.2,0,0,0,0,0,0,1.55,0,0,0,0,0,0,0,1.55,0,0.55,0,0.2,0,0,0,0,0
C17540*,Forgings,Hard and Precipitation Heat Treated,TH06,120,135,95.95,0,0,0.2,0,0,0,0,0,0,1.55,0,0,0,0,0,0,0,1.55,0,0.55,0,0.2,0,0,0,0,0
C17540*,Forgings,Precipitation Hardened,TF00,120,135,95.95,0,0,0.2,0,0,0,0,0,0,1.55,0,0,0,0,0,0,0,1.55,0,0.55,0,0.2,0,0,0,0,0
C17540*,Forgings,Precipitation Hardened,TF01,120,135,95.95,0,0,0.2,0,0,0,0,0,0,1.55,0,0,0,0,0,0,0,1.55,0,0.55,0,0.2,0,0,0,0,0
C17540*,Forgings,Precipitation Hardened,TF02,120,135,95.95,0,0,0.2,0,0,0,0,0,0,1.55,0,0,0,0,0,0,0,1.55,0,0.55,0,0.2,0,0,0,0,0
C17540*,Forgings,Solution Heat Treated,TB00,120,135,95.95,0,0,0.2,0,0,0,0,0,0,1.55,0,0,0,0,0,0,0,1.55,0,0.55,0,0.2,0,0,0,0,0
C17540*,Forgings,Solution Heat Treated,TB01,120,135,95.95,0,0,0.2,0,0,0,0,0,0,1.55,0,0,0,0,0,0,0,1.55,0,0.55,0,0.2,0,0,0,0,0
C17540*,Forgings,Solution Heat Treated,TB02,120,135,95.95,0,0,0.2,0,0,0,0,0,0,1.55,0,0,0,0,0,0,0,1.55,0,0.55,0,0.2,0,0,0,0,0
C17540*,"Sheet, Strip, Roller Bar & Plate",Hard and Precipitation Heat Treated,TH04,120,135,95.95,0,0,0.2,0,0,0,0,0,0,1.55,0,0,0,0,0,0,0,1.55,0,0.55,0,0.2,0,0,0,0,0
C17540*,"Sheet, Strip, Roller Bar & Plate",Hard and Precipitation Heat Treated,TH05,120,135,95.95,0,0,0.2,0,0,0,0,0,0,1.55,0,0,0,0,0,0,0,1.55,0,0.55,0,0.2,0,0,0,0,0
C17540*,"Sheet, Strip, Roller Bar & Plate",Hard and Precipitation Heat Treated,TH06,120,135,95.95,0,0,0.2,0,0,0,0,0,0,1.55,0,0,0,0,0,0,0,1.55,0,0.55,0,0.2,0,0,0,0,0
C17540*,"Sheet, Strip, Roller Bar & Plate",Precipitation Hardened,TF00,120,135,95.95,0,0,0.2,0,0,0,0,0,0,1.55,0,0,0,0,0,0,0,1.55,0,0.55,0,0.2,0,0,0,0,0
C17540*,"Sheet, Strip, Roller Bar & Plate",Precipitation Hardened,TF01,120,135,95.95,0,0,0.2,0,0,0,0,0,0,1.55,0,0,0,0,0,0,0,1.55,0,0.55,0,0.2,0,0,0,0,0
C17540*,"Sheet, Strip, Roller Bar & Plate",Precipitation Hardened,TF02,120,135,95.95,0,0,0.2,0,0,0,0,0,0,1.55,0,0,0,0,0,0,0,1.55,0,0.55,0,0.2,0,0,0,0,0
C17540*,"Sheet, Strip, Roller Bar & Plate",Solution Heat Treated,TB00,120,135,95.95,0,0,0.2,0,0,0,0,0,0,1.55,0,0,0,0,0,0,0,1.55,0,0.55,0,0.2,0,0,0,0,0
C17540*,"Sheet, Strip, Roller Bar & Plate",Solution Heat Treated,TB01,120,135,95.95,0,0,0.2,0,0,0,0,0,0,1.55,0,0,0,0,0,0,0,1.55,0,0.55,0,0.2,0,0,0,0,0
C17540*,"Sheet, Strip, Roller Bar & Plate",Solution Heat Treated,TB02,120,135,95.95,0,0,0.2,0,0,0,0,0,0,1.55,0,0,0,0,0,0,0,1.55,0,0.55,0,0.2,0,0,0,0,0
C18020*,Flat Products,1/2 Hard,H02,58,191,99.4,0,0.2,0,0,0,0,0,0,0,0,0,0,0.15,0,0,0,0,0,0,0,0.2,0.05,0,0,0,0,0
C18020*,Flat Products,Hard,H04,64,191,99.4,0,0.2,0,0,0,0,0,0,0,0,0,0,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C18025 High Copper Alloy,Flat Products,Hard,H04,79,180,99.425,0,0.1,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0.02,0,0,0,0.25,0.005,0,0,0,0,0
C18045*,Flat Products,1/2 Hard,H02,78,174,99.1,0,0.275,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0.275,0.05,0,0,0,0,0
C18060,Strip,1/2 Hard,H02,64,179,99.36,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0.08,0.08,0,0,0.3,0.08,0,0,0,0,0
C18080,Flat products,"Mill-hardened Temper, TM - Hard",TM04,76,185,98.65,0,0,0.11,0,0.155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.555,0.08,0,0,0,0
C18080,Flat products,"Mill-hardened Temper, TM - XHMS Spring",TM08,83,185,98.65,0,0,0.11,0,0.155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.555,0.08,0,0,0,0
C18090*,Flat Products,1/2 Hard,H02,80,133,96,0,0,0,0,0,0,0,0,0,0.75,0,0,0.85,0,0,0,0,0,0,0,0.6,0,0.475,0,0,0,0
C18090*,Flat Products,Hard,H04,90,133,96,0,0,0,0,0,0,0,0,0,0.75,0,0,0.85,0,0,0,0,0,0,0,0.6,0,0.475,0,0,0,0
C18090*,Flat Products,Soft Anneal,O60,60,133,96,0,0,0,0,0,0,0,0,0,0.75,0,0,0.85,0,0,0,0,0,0,0,0.6,0,0.475,0,0,0,0
C18090*,Flat Products,Spring,H08,100,133,96,0,0,0,0,0,0,0,0,0,0.75,0,0,0.85,0,0,0,0,0,0,0,0.6,0,0.475,0,0,0,0
C18100*,Flat Products,Hard,H04,67,187,98.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14,0.045,0,0,0,0.8,0,0,0,0,0,0
C18100*,Flat Products,Hard,H04,72,187,98.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14,0.045,0,0,0,0.8,0,0,0,0,0,0
C18100*,Wire,Hard,H04,72,187,98.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14,0.045,0,0,0,0.8,0,0,0,0,0,0
C18100*,Wire,Hard,H04,85,187,98.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14,0.045,0,0,0,0.8,0,0,0,0,0,0
C18100*,Wire,Hard,H04,70,187,98.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14,0.045,0,0,0,0.8,0,0,0,0,0,0
C18100*,Wire,Hard,H04,73,187,98.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14,0.045,0,0,0,0.8,0,0,0,0,0,0
C18100*,Wire,Hard,H04,80,187,98.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14,0.045,0,0,0,0.8,0,0,0,0,0,0
C18100*,Wire,Hard,H04,75,187,98.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14,0.045,0,0,0,0.8,0,0,0,0,0,0
C18100*,Wire,Hard,H04,70,187,98.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14,0.045,0,0,0,0.8,0,0,0,0,0,0
C18135*,Flat Products,1/2 Hard and Spinodal Hardened (1/2 TS),TS02,62,210,99.2,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0.4,0,0,0,0,0,0
C18135*,Flat Products,Precipitation Heat Treated or Spinodal Heat Treated and 1/2 Hard,TL02,68,210,99.2,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0.4,0,0,0,0,0,0
C18135*,Flat Products,Solution Heat Treated,TB00,32,210,99.2,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0.4,0,0,0,0,0,0
C18135*,Flat Products,Spinodal Hardened-Low Strength (ATLS),TX00,54,210,99.2,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0.4,0,0,0,0,0,0
C18135*,Rod,3/4 Hard and Spinodal Hardened (3/4 TS),TS03,61,210,99.2,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0.4,0,0,0,0,0,0
C18135*,Rod,Hard and Spinodal Hardened,TS04,62,210,99.2,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0.4,0,0,0,0,0,0
