,num_hidden_layers,neurons_per_layer,dropout_rate,optimizer,activation_function,fitness_scores
1,2.0,93.0,0.19975421731532286,adamax,relu,0.3642659979227485
2,2.0,70.0,0.15968542357927834,adamax,relu,0.3608860028860029
3,6.0,85.0,0.17298116180354806,adamax,relu,0.3690367068828607
4,2.0,75.0,0.1869519485002175,adamax,relu,0.38719528015843807
5,1.0,39.0,0.2589180623217192,adamax,relu,0.40183611421258475
6,2.0,100.0,0.11309953817463135,adamax,relu,0.37444021066652644
7,2.0,69.0,0.19975421731532286,adamax,relu,0.410252582505214
8,3.0,85.0,0.12316073143079966,adamax,relu,0.3516540171215094
9,5.0,75.0,0.17298116180354806,adamax,relu,0.3601816022000165
10,3.0,82.0,0.23204372201091866,adamax,relu,0.39523525417452543
11,3.0,82.0,0.34089661776708285,adamax,relu,0.38051895472948105
12,2.0,85.0,0.014485933029906415,adamax,relu,0.4082034647102521
13,3.0,44.0,0.1869519485002175,adamax,relu,0.40391117654275555
14,3.0,101.0,0.3398756843981485,adamax,relu,0.38332919711867086
15,3.0,95.0,0.3398756843981485,adamax,relu,0.39832239573292205
16,3.0,97.0,0.3398756843981485,adamax,relu,0.35269469711574974
17,3.0,54.0,0.11309953817463135,adamax,relu,0.36351604605920396
18,2.0,100.0,0.1869519485002175,adamax,relu,0.3685446488421317
19,3.0,87.0,0.19975421731532286,adamax,relu,0.39517096938149565
20,2.0,89.0,0.19975421731532286,adamax,relu,0.39012394076511725
21,2.0,85.0,0.014485933029906415,adamax,relu,0.385190871220283
22,2.0,89.0,0.2084752465079731,adamax,relu,0.37032515154925255
23,4.0,110.0,0.1869519485002175,adamax,relu,0.3987336451223091
0,2.0,93.0,0.3573950720429822,nadam,relu,0.37446880896880896
1,2.0,93.0,0.19975421731532286,nadam,relu,0.4092806927400878
2,2.0,70.0,0.15968542357927834,nadam,relu,0.3922746663260657
3,6.0,85.0,0.17298116180354806,nadam,relu,0.3648234067722559
4,2.0,75.0,0.1869519485002175,nadam,relu,0.398140895904323
5,1.0,39.0,0.2589180623217192,nadam,relu,0.39023424941072005
6,2.0,100.0,0.11309953817463135,nadam,relu,0.3746790965200576
7,2.0,69.0,0.19975421731532286,nadam,relu,0.38463903168356606
8,3.0,85.0,0.12316073143079966,nadam,relu,0.3809998195041674
9,5.0,75.0,0.17298116180354806,nadam,relu,0.38911368631368626
10,3.0,82.0,0.23204372201091866,nadam,relu,0.3746856213961477
11,3.0,82.0,0.34089661776708285,nadam,relu,0.3901337366511683
12,2.0,85.0,0.014485933029906415,nadam,relu,0.36112356591041994
13,3.0,44.0,0.1869519485002175,nadam,relu,0.37235397935397935
14,3.0,101.0,0.3398756843981485,nadam,relu,0.3532576649356835
15,3.0,95.0,0.3398756843981485,nadam,relu,0.39451892310587966
16,3.0,97.0,0.3398756843981485,nadam,relu,0.3477756374060722
