cu,pb,zn,fe,p,ag,as,o,sb,te,ni,bi,cd,sn,s,mn,zr,mg,co,al,be,cr,si,ti,ca,li,b,c,nb,se,thermal_conductivity
99.29,0,0,0.1,0.01,0,0,0,0,0,0,0,0,0.2,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,167
99,0.05,0.3,0.1,0.01,0,0,0,0,0,0,0,0,0.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160
98.645,0.02,0.1,0,0.05,0,0,0,0,0,0,0,0,0.75,0,0.2,0,0,0,0.01,0,0,0.275,0,0,0,0,0,0,0,75
97.75,0.05,0.8,0.1,0.2,0,0,0,0,0,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,145
98.47,0.03,0,0,0,0,0,0,0,0,1.3,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,149
97.75,0,0.2,0.1,0.05,0,0,0,0,0,1,0,0,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93
96.75,0,0.2,0.1,0.9,0,0,0,0,0,0.85,0,0,1,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,80
96.1,0.02,0.8,0.06,0.05,0,0,0,0,0,0.75,0,0,1,0,0.02,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,81
95.1,0.02,1,0.1,0.14,0,0,0,0,0,0.75,0,0,0.165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75
97.425,0.1,0.5,0.2,0.2,0,0,0,0,0,1.1,0.475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,145
97.55,0.6,0.05,0.05,0.2,0,0,0,0,0,1.5,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,146
97.75,1,0.05,0.05,0.2,0,0,0,0,0,1,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,146
96.8,0.02,1,0.1,0.14,0,0,0,0,0,0.75,0,0,0.8,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,154
98.5,0,0.2,1,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150
98.5,0,0.2,1,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125
99.675,0,0,0.1,0.0325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,192
99.065,0.075,0,0.2,0.5,0,0,0,0,0,0.175,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,182
97.43,0.02,1,0.3,0.12,0,0,0,0,0,0,0,0,0.8,0,0.02,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,118
97.38,0.02,1,0.3,0.12,0,0,0,0,0,0,0,0,1.15,0,0.02,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,75
98.61,0,0.185,1,0,0,0,0,0,0,0,0,0,0.185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128
95.66,0.03,0.125,2.35,0.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150
96.57,0.55,0.2,1.5,0.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0.02,0,0,0,0,0,0,0,0,0,0,115
97.29,0,0.9,0.26,0.55,0,0,0,0,0,0,0,0,0.55,0,0,0,0.55,0,0,0,0,0,0,0,0,0,0,0,0,150
93.49,0,4,2,0.1,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0,0,0.09,0,0.1,0,0,0,0,0,0,145
96.55,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.25,0,0,0,0,0,0,39
