,inventory,item_url
81,"
Inventory policy :

This product is out of stock.

",https://www.ajijo.com.au/collections/biryani-rice/products/daawat-biryani-rice1kg
82,"
Inventory policy :

This product is out of stock.

",https://www.ajijo.com.au/collections/biryani-rice/products/biryani-rice-daawat-5kg
83,"
Inventory policy :

This product is out of stock.

",https://www.ajijo.com.au/collections/biscuits-cookies-arnotts/products/arnotts-timtam-original-200grams
84,"
Inventory policy :

This product is out of stock.

",https://www.ajijo.com.au/collections/biscuits-cookies-arnotts/products/arnotts-timtam-double-coat-200gram
85,"
Inventory policy :

This product is out of stock.

",https://www.ajijo.com.au/collections/biscuits-cookies-arnotts/products/arnotts-vita-weat-mlutigrain-140g
86,"
Inventory policy :

This product is out of stock.

",https://www.ajijo.com.au/collections/biscuits-cookies-arnotts/products/arnotts-salada-250g
87,"
Inventory policy :

This product is out of stock.

",https://www.ajijo.com.au/collections/biscuits-cookies-arnotts/products/arnotts-jatz-clix-250g
88,"
Inventory policy :

This product is out of stock.

",https://www.ajijo.com.au/collections/biscuits-cookies-arnotts/products/arnotts-cheeseboard-250g
89,"
Inventory policy :

                
                11
                
                 
              This product is available!

",https://www.ajijo.com.au/collections/biscuits-cookies-britannia/products/suger-free-cookies-kishwan-300g
90,"
Inventory policy :

                
                16
                
                 
              This product is available!

",https://www.ajijo.com.au/collections/biscuits-cookies-britannia/products/britannia-good-day-chocochip-cookies-120g
91,"
Inventory policy :

                
                12
                
                 
              This product is available!

",https://www.ajijo.com.au/collections/biscuits-cookies-britannia/products/britannia-milk-bikis-biscuits-100-g
92,"
Inventory policy :

                
                21
                
                 
              This product is available!

",https://www.ajijo.com.au/collections/biscuits-cookies-britannia/products/britannia-50-50-sweet-salty-62g
93,"
Inventory policy :

                
                16
                
                 
              This product is available!

",https://www.ajijo.com.au/collections/biscuits-cookies-britannia/products/britannia-50-50-sweet-classic-salted-312-g
94,"
Inventory policy :

                
                3
                
                 
              This product is available!

",https://www.ajijo.com.au/collections/biscuits-cookies-britannia/products/kaccha-mango-bite-parle-102-92g
95,"
Inventory policy :

                
                2
                
                 
              This product is available!

",https://www.ajijo.com.au/collections/biscuits-cookies-britannia/products/tiger-glucose-biscuits-600g
96,"
Inventory policy :

This product is out of stock.

",https://www.ajijo.com.au/collections/biscuits-cookies-britannia/products/tiger-glucose-50g
97,"
Inventory policy :

                
                20
                
                 
              This product is available!

",https://www.ajijo.com.au/collections/biscuits-cookies-britannia/products/wonderfulls-goodday-75g
98,"
Inventory policy :

This product is out of stock.

",https://www.ajijo.com.au/collections/biscuits-cookies-cadbury/products/cadbury-cookies-double-choc-156g
99,"
Inventory policy :

This product is out of stock.

",https://www.ajijo.com.au/collections/biscuits-cookies-cherab/products/kaju-cookies-cherabs-300g
100,"
Inventory policy :

This product is out of stock.

",https://www.ajijo.com.au/collections/biscuits-cookies-cherab/products/cherab-jeera-cookies-300g
101,"
Inventory policy :

This product is out of stock.

",https://www.ajijo.com.au/collections/biscuits-cookies-cherab/products/cherab-coconut-cookies300gram
102,"
Inventory policy :

This product is out of stock.

",https://www.ajijo.com.au/collections/biscuits-cookies-cherab/products/cherab-atta-biscuits-320g
103,"
Inventory policy :

                
                10
                
                 
              This product is available!

",https://www.ajijo.com.au/collections/biscuits-cookies-cherab/products/cherab-atta-biscuits-1kg
104,"
Inventory policy :

This product is out of stock.

",https://www.ajijo.com.au/collections/biscuits-cookies-cherab/products/cherab-ajwain-cookies-320gram
105,"
Inventory policy :

This product is out of stock.

",https://www.ajijo.com.au/collections/biscuits-cookies-karachi/products/osmania-biscuits-karachi-400g
106,"
Inventory policy :

This product is out of stock.

",https://www.ajijo.com.au/collections/biscuits-cookies-karachi/products/kaju-badam-biscuits-karachi
107,"
Inventory policy :

This product is out of stock.

",https://www.ajijo.com.au/collections/biscuits-cookies-karachi/products/almond-biscuits-karachis-400g
108,"
Inventory policy :

This product is out of stock.

",https://www.ajijo.com.au/collections/biscuits-cookies-oreo/products/orio-red-velvet-137g
109,"
Inventory policy :

This product is out of stock.

",https://www.ajijo.com.au/collections/biscuits-cookies-oreo/products/oreo-original-vanilla-137g
110,"
Inventory policy :

This product is out of stock.

",https://www.ajijo.com.au/collections/biscuits-cookies-oreo/products/oreo-original
111,"
Inventory policy :

This product is out of stock.

",https://www.ajijo.com.au/collections/biscuits-cookies-oreo/products/oreo-choc-split-137g
112,"
Inventory policy :

                
                15
                
                 
              This product is available!

",https://www.ajijo.com.au/collections/biscuits-cookies-others/products/tim-tam-dark-200g
113,"
Inventory policy :

This product is out of stock.

",https://www.ajijo.com.au/collections/biscuits-cookies-others/products/ritz-original-crackers-100g
114,"
Inventory policy :

This product is out of stock.

",https://www.ajijo.com.au/collections/biscuits-cookies-others/products/ritz-choc-flavoured118gram
115,"
Inventory policy :

This product is out of stock.

",https://www.ajijo.com.au/collections/biscuits-cookies-parle/products/parlehide-seek-chocolate-biscuits-value-pack
116,"
Inventory policy :

This product is out of stock.

",https://www.ajijo.com.au/collections/biscuits-cookies-parle/products/parle-krackjack-biscuits-value-pack
117,"
Inventory policy :

                
                9
                
                 
              This product is available!

",https://www.ajijo.com.au/collections/biscuits-cookies-parle/products/parle-g-biscuit-799g
118,"
Inventory policy :

This product is out of stock.

",https://www.ajijo.com.au/collections/biscuits-cookies-parle/products/monaco-biscuits-value-packparle
119,"
Inventory policy :

This product is available!

",https://www.ajijo.com.au/collections/bolsts/products/curry-powder-mild-bolsts-500g
120,"
Inventory policy :

This product is available!

",https://www.ajijo.com.au/collections/bolsts/products/curry-powder-hot-bolsts-500g
121,"
Inventory policy :

                
                2
                
                 
              This product is available!

",https://www.ajijo.com.au/collections/bolsts/products/curry-powder-mild-bolsts-100g
122,"
Inventory policy :

                
                6
                
                 
              This product is available!

",https://www.ajijo.com.au/collections/bolsts/products/curry-powder-hot-bolsts-100g
123,"
Inventory policy :

                
                2
                
                 
              This product is available!

",https://www.ajijo.com.au/collections/brahmin/products/garam-masala-brahmins-100g
124,"
Inventory policy :

                
                8
                
                 
              This product is available!

",https://www.ajijo.com.au/collections/brahmin/products/sambar-powder-brahmins-200g
125,"
Inventory policy :

This product is out of stock.

",https://www.ajijo.com.au/collections/brahmin/products/turmeric-powder-brahmins-250g
126,"
Inventory policy :

This product is available!

",https://www.ajijo.com.au/collections/brahmin/products/pickle-powder-brahmins-100g
127,"
Inventory policy :

This product is out of stock.

",https://www.ajijo.com.au/collections/brahmin/products/rasam-powder-brahmins-100g
128,"
Inventory policy :

                
                8
                
                 
              This product is available!

",https://www.ajijo.com.au/collections/brahmin/products/chutney-powder-brahmins-100g
129,"
Inventory policy :

                
                12
                
                 
              This product is available!

",https://www.ajijo.com.au/collections/breakfast-cereals/products/corn-flakes-kelloggs-725-g
130,"
Inventory policy :

                
                2
                
                 
              This product is available!

",https://www.ajijo.com.au/collections/breakfast-cereals/products/weet-bix-1-12kg
131,"
Inventory policy :

This product is out of stock.

",https://www.ajijo.com.au/collections/breakfast-cereals/products/weet-bix
132,"
Inventory policy :

                
                7
                
                 
              This product is available!

",https://www.ajijo.com.au/collections/breakfast-cereals/products/rolled-oats-lowan-1kg
133,"
Inventory policy :

This product is out of stock.

",https://www.ajijo.com.au/collections/breakfast-cereals/products/kelloggs-sultana-bran-crereal-500g
134,"
Inventory policy :

This product is out of stock.

",https://www.ajijo.com.au/collections/breakfast-cereals/products/kelloggs-rice-bubbles-410g
135,"
Inventory policy :

This product is out of stock.

",https://www.ajijo.com.au/collections/breakfast-cereals/products/kelloggs-nutri-grain-290g
136,"
Inventory policy :

This product is out of stock.

",https://www.ajijo.com.au/collections/breakfast-cereals/products/kelloggs-crunchy-nuts-cornflakes-670g
137,"
Inventory policy :

This product is out of stock.

",https://www.ajijo.com.au/collections/breakfast-cereals/products/kelloggs-all-bran-wheat-flakes-330g
138,"
Inventory policy :

This product is out of stock.

",https://www.ajijo.com.au/collections/brown-basmati-rice/products/daawat-brown-rice-1kg
139,"
Inventory policy :

This product is out of stock.

",https://www.ajijo.com.au/collections/brown-basmati-rice/products/daawat-brown-rice-5kg-jar
140,"
Inventory policy :

                
                9
                
                 
              This product is available!

",https://www.ajijo.com.au/collections/brown-rice/products/brown-medium-grain-rice-sun-rice-1-kg
141,"
Inventory policy :

                
                9
                
                 
              This product is available!

",https://www.ajijo.com.au/collections/brown-rice/products/brown-long-grain-rice
142,"
Inventory policy :

This product is available!

",https://www.ajijo.com.au/collections/butter-cheese/products/unsalted-butter-western-star-250g
143,"
Inventory policy :

This product is out of stock.

",https://www.ajijo.com.au/collections/butter-cheese/products/salted-butter-250g-western-star
144,"
Inventory policy :

This product is available!

",https://www.ajijo.com.au/collections/butter-cheese/products/coon-shred-tasty-200gm
145,"
Inventory policy :

                
                8
                
                 
              This product is available!

",https://www.ajijo.com.au/collections/canned-beans-lentils/products/red-cocktail-onion-rosella-150g
