revenue,potential_revenue,pl_inventory_percentage
1025.65,1025.65,0.0
950.56,950.56,0.0
400.4,400.4,0.0
1251.54,1251.54,0.0
1104.7,1104.7,0.0
451.01,451.01,0.0
798.96,798.96,0.0
1040.9,1040.9,0.0
1079.56,1079.56,0.0
750.72,750.72,0.0
1155.47,1155.47,0.0
1104.31,1104.31,0.0
56.53,56.53,0.0
975.4,975.4,0.0
335.55,335.55,0.0
511.8,511.8,0.0
184.38,184.38,0.0
1044.19,1044.19,0.0
865.2,865.2,0.0
1253.3,1253.3,0.0
755.27,755.27,0.0
547.42,547.42,0.0
907.29,907.29,0.0
61.2,61.2,0.0
1129.17,1129.17,0.0
224.09,224.09,0.0
279.52,279.52,0.0
623.43,623.43,0.0
914.95,914.95,0.0
122.67,122.67,0.0
317.76,317.76,0.0
237.92,237.92,0.0
656.4,656.4,0.0
915.13,915.13,0.0
286.42,286.42,0.0
873.07,873.07,0.0
322.31,322.31,0.0
429.77,429.77,0.0
320.76,320.76,0.0
628.07,628.07,0.0
0.0,0.0,0.0
302.96,302.96,0.0
1077.66,1077.66,0.0
916.62,916.62,0.0
166.77,166.77,0.0
885.05,885.05,0.0
1226.62,1226.62,0.0
254.72,254.72,0.0
71.23,71.23,0.0
927.55,927.55,0.0
1037.72,1037.72,0.0
425.23,425.23,0.0
276.79,276.79,0.0
457.08,457.08,0.0
342.87,342.87,0.0
246.33,246.33,0.0
485.09,485.09,0.0
508.64,508.64,0.0
358.78,358.78,0.0
438.48,438.48,0.0
616.2,616.2,0.0
638.23,638.23,0.0
1218.83,1218.83,0.0
973.35,973.35,0.0
577.94,577.94,0.0
455.76,455.76,0.0
1007.57,1007.57,0.0
256.03,256.03,0.0
474.71,474.71,0.0
932.14,932.14,0.0
46.03,46.03,0.0
399.63,399.63,0.0
1140.42,1140.42,0.0
176.88,176.88,0.0
1426.31,1426.31,0.0
11.23,11.23,0.0
1168.32,1168.32,0.0
587.74,587.74,0.0
177.55,177.55,0.0
1026.95,1026.95,0.0
394.14,394.14,0.0
1019.9,1019.9,0.0
86.75,86.75,0.0
