name,inventory,price,price_correspondance,collection,item_url
"Basmati Rice,  Daawat Everyday, 5kg",-299,$15.00,'/products/daawat-everyday-basmati-rice-5-kg',basmati-rice?page=3,https://www.ajijo.com.au/collections/basmati-rice?page=3/products/daawat-everyday-basmati-rice-5-kg
"Basmati rice, Daawat Chef Secret 5kg",-299,$21.99,'/products/daawat-chef-secret-classic-rice-5kg',basmati-rice?page=3,https://www.ajijo.com.au/collections/basmati-rice?page=3/products/daawat-chef-secret-classic-rice-5kg
"Basmati Rice, Daawat Select 5kg",-299,$24.00,'/products/daawat-select-5-kg',basmati-rice?page=3,https://www.ajijo.com.au/collections/basmati-rice?page=3/products/daawat-select-5-kg
"Basmati Rice, Daawat Select 10kg",-299,$40.50,'/products/daawat-select-10-kg',basmati-rice?page=3,https://www.ajijo.com.au/collections/basmati-rice?page=3/products/daawat-select-10-kg
"Basmati rice,  Devaaya 5kg",-299,$19.99,'/products/daawat-devaaya-5-kg',basmati-rice?page=3,https://www.ajijo.com.au/collections/basmati-rice?page=3/products/daawat-devaaya-5-kg
BROWN BASMATI RICE INDYA 5KG,-299,$18.50,'/products/brown-basmati-rice-indya-5kg',basmati-rice?page=3,https://www.ajijo.com.au/collections/basmati-rice?page=3/products/brown-basmati-rice-indya-5kg
BASMATI RICE SHAN 5KG,-299,$16.50,'/products/basmati-rice-shan-5kg',basmati-rice?page=3,https://www.ajijo.com.au/collections/basmati-rice?page=3/products/basmati-rice-shan-5kg
POP CORN PATTU 1 KG,12,$4.50,'/products/pop-corn-pattu-1-kg',beans,https://www.ajijo.com.au/collections/beans/products/pop-corn-pattu-1-kg
SOYA BEANS PATTU 1KG,15,$4.50,'/products/soya-beans-pattu-1kg',beans,https://www.ajijo.com.au/collections/beans/products/soya-beans-pattu-1kg
RED KIDNEY BEANS LIGHT PATTU 1KG,14,$5.99,'/products/red-kidney-beans-light-1kg',beans,https://www.ajijo.com.au/collections/beans/products/red-kidney-beans-light-1kg
RED KIDNEY BEANS DARK PATTU 1KG,14,$5.99,'/products/red-kidney-beans-dark-pattu-1kg',beans,https://www.ajijo.com.au/collections/beans/products/red-kidney-beans-dark-pattu-1kg
RED KIDNEY BEANS DARK JK 2KG,-199,$8.99,'/products/red-kidney-beans-dark-jk-2kg',beans,https://www.ajijo.com.au/collections/beans/products/red-kidney-beans-dark-jk-2kg
POONA BEANS JK 1KG,8,$6.50,'/products/poona-beans-jk-1kg',beans,https://www.ajijo.com.au/collections/beans/products/poona-beans-jk-1kg
PINTO BEANS JK 1KG,5,$3.95,'/products/pinto-beans-jk-1kg',beans,https://www.ajijo.com.au/collections/beans/products/pinto-beans-jk-1kg
MUNG BEANS CELERA JK 1KG,3,$4.25,'/products/mung-beans-celera-jk-1kg',beans,https://www.ajijo.com.au/collections/beans/products/mung-beans-celera-jk-1kg
MUNG BEANS BERKIN JK 2KG,-199,$8.99,'/products/mung-beans-berkin-jk-2kg',beans,https://www.ajijo.com.au/collections/beans/products/mung-beans-berkin-jk-2kg
SAGO INDYA 500G,7,$3.99,'/products/sago-indya-500g',beans-lentils,https://www.ajijo.com.au/collections/beans-lentils/products/sago-indya-500g
CRANBERRY BEANS PATTU 1KG,8,$5.99,'/products/cranberry-beans-pattu-1kg',beans-lentils,https://www.ajijo.com.au/collections/beans-lentils/products/cranberry-beans-pattu-1kg
MUNG DAL PARSRAM 1 KG,6,$4.50,'/products/mung-dal-parsram-1-kg',beans-lentils,https://www.ajijo.com.au/collections/beans-lentils/products/mung-dal-parsram-1-kg
WHEAT PATTU 1KG,-199,$3.50,'/products/wheat-pattu-1kg',beans-lentils,https://www.ajijo.com.au/collections/beans-lentils/products/wheat-pattu-1kg
LAKSHMIJI STATUE BRASS NO 3,-99,$12.99,'/products/lakshmiji-statue-brass-no-3',bell-statue,https://www.ajijo.com.au/collections/bell-statue/products/lakshmiji-statue-brass-no-3
LAKSHMI STATUE BRASS NO 2,-99,$10.99,'/products/lakshmi-statue-brass-no-2',bell-statue,https://www.ajijo.com.au/collections/bell-statue/products/lakshmi-statue-brass-no-2
GANESHA STATUE BRASS NO 4,-99,$15.99,'/products/ganesha-statue-brass-no-4',bell-statue,https://www.ajijo.com.au/collections/bell-statue/products/ganesha-statue-brass-no-4
GANESHA STATUE BRASS NO 2,-99,$10.99,'/products/ganesha-statue-brass-no-2',bell-statue,https://www.ajijo.com.au/collections/bell-statue/products/ganesha-statue-brass-no-2
"GANESH LAKSHMIJI STATUE 5""",-99,$21.00,'/products/ganesh-lakshmiji-statue-5',bell-statue,https://www.ajijo.com.au/collections/bell-statue/products/ganesh-lakshmiji-statue-5
"GANESH LAKSHMI JI STATUE 4""",-99,$15.00,'/products/ganesh-lakshmi-ji-statue-4',bell-statue,https://www.ajijo.com.au/collections/bell-statue/products/ganesh-lakshmi-ji-statue-4
POOJA BRASS BELL BIG HANUMAN,-99,$22.99,'/products/pooja-brass-bell-big-hanuman',bell-statue,https://www.ajijo.com.au/collections/bell-statue/products/pooja-brass-bell-big-hanuman
POOJA BRASS BELL BIG GANESHA,-99,$17.99,'/products/pooja-brass-bell-big-ganesha',bell-statue,https://www.ajijo.com.au/collections/bell-statue/products/pooja-brass-bell-big-ganesha
POOJA BRASS BELL BIG,-99,$17.99,'/products/pooja-brass-bell-big',bell-statue,https://www.ajijo.com.au/collections/bell-statue/products/pooja-brass-bell-big
Powerade Gold Rush Sports Drink 600ml,-199,$4.50,'/products/powerade-gold-rush-sports-drink-600ml',beverages,https://www.ajijo.com.au/collections/beverages/products/powerade-gold-rush-sports-drink-600ml
GLAD HANDLE TIE MEDIUM 30,-99,$4.65,'/products/glad-handle-tie-medium-30',bin-liners,https://www.ajijo.com.au/collections/bin-liners/products/glad-handle-tie-medium-30
KITCHEN TIDY BAGS B&G,-99,$3.25,'/products/kitchen-tidy-bags-b-g',bin-liners,https://www.ajijo.com.au/collections/bin-liners/products/kitchen-tidy-bags-b-g
GLAD HANDLE TIE LRG 25,-99,$4.65,'/products/glad-handle-tie-lrg-25',bin-liners,https://www.ajijo.com.au/collections/bin-liners/products/glad-handle-tie-lrg-25
"Biryani Basmati Rice, Daawat, 10kg",5,$49.99,'/products/biryani-basmati-rice-daawat-10kg',biryani-rice,https://www.ajijo.com.au/collections/biryani-rice/products/biryani-basmati-rice-daawat-10kg
"Biryani Basmati Rice, Daawat 1kg",-199,$5.99,'/products/daawat-biryani-rice1kg',biryani-rice,https://www.ajijo.com.au/collections/biryani-rice/products/daawat-biryani-rice1kg
"Biryani Basmati Rice, Daawat 5kg",-199,$23.99,'/products/biryani-rice-daawat-5kg',biryani-rice,https://www.ajijo.com.au/collections/biryani-rice/products/biryani-rice-daawat-5kg
ARNOTT'S TIM TAM ORIGINAL 200G,-199,$3.70,'/products/arnotts-timtam-original-200grams',biscuits-cookies-arnotts,https://www.ajijo.com.au/collections/biscuits-cookies-arnotts/products/arnotts-timtam-original-200grams
ARNOTT'S TIM TAM DOUBLE COAT 200G,-199,$3.70,'/products/arnotts-timtam-double-coat-200gram',biscuits-cookies-arnotts,https://www.ajijo.com.au/collections/biscuits-cookies-arnotts/products/arnotts-timtam-double-coat-200gram
ARNOTT'S VITA WEAT MLUTIGRAIN 140G,-199,$2.25,'/products/arnotts-vita-weat-mlutigrain-140g',biscuits-cookies-arnotts,https://www.ajijo.com.au/collections/biscuits-cookies-arnotts/products/arnotts-vita-weat-mlutigrain-140g
ARNOTT'S SALADA ORIGINAL 250G,-199,$3.45,'/products/arnotts-salada-250g',biscuits-cookies-arnotts,https://www.ajijo.com.au/collections/biscuits-cookies-arnotts/products/arnotts-salada-250g
ARNOTT'S JATZ CLIX 250G,-199,$3.00,'/products/arnotts-jatz-clix-250g',biscuits-cookies-arnotts,https://www.ajijo.com.au/collections/biscuits-cookies-arnotts/products/arnotts-jatz-clix-250g
ARNOTT'S CHEESEBOARD 250G,-199,$4.99,'/products/arnotts-cheeseboard-250g',biscuits-cookies-arnotts,https://www.ajijo.com.au/collections/biscuits-cookies-arnotts/products/arnotts-cheeseboard-250g
"SUGER FREE COOKIES, KISHWAN, 300G",11,$4.99,'/products/suger-free-cookies-kishwan-300g',biscuits-cookies-britannia,https://www.ajijo.com.au/collections/biscuits-cookies-britannia/products/suger-free-cookies-kishwan-300g
BRITANNIA GOOD DAY CHOCOCHIP COOKIES 120G,16,$1.75,'/products/britannia-good-day-chocochip-cookies-120g',biscuits-cookies-britannia,https://www.ajijo.com.au/collections/biscuits-cookies-britannia/products/britannia-good-day-chocochip-cookies-120g
BRITANNIA MILK BIKIS BISCUITS 100 G,12,$1.50,'/products/britannia-milk-bikis-biscuits-100-g',biscuits-cookies-britannia,https://www.ajijo.com.au/collections/biscuits-cookies-britannia/products/britannia-milk-bikis-biscuits-100-g
