name,price_correspondance,collection,price
ARNOTT'S TIM TAM ORIGINAL 200G,'/products/arnotts-timtam-original-200grams',biscuits-cookies-arnotts,$3.70
ARNOTT'S TIM TAM DOUBLE COAT 200G,'/products/arnotts-timtam-double-coat-200gram',biscuits-cookies-arnotts,$3.70
ARNOTT'S VITA WEAT MLUTIGRAIN 140G,'/products/arnotts-vita-weat-mlutigrain-140g',biscuits-cookies-arnotts,$2.25
ARNOTT'S SALADA ORIGINAL 250G,'/products/arnotts-salada-250g',biscuits-cookies-arnotts,$3.45
ARNOTT'S JATZ CLIX 250G,'/products/arnotts-jatz-clix-250g',biscuits-cookies-arnotts,$3.00
ARNOTT'S CHEESEBOARD 250G,'/products/arnotts-cheeseboard-250g',biscuits-cookies-arnotts,$4.99
"SUGER FREE COOKIES, KISHWAN, 300G",'/products/suger-free-cookies-kishwan-300g',biscuits-cookies-britannia,$4.99
BRITANNIA GOOD DAY CHOCOCHIP COOKIES 120G,'/products/britannia-good-day-chocochip-cookies-120g',biscuits-cookies-britannia,$1.75
BRITANNIA MILK BIKIS BISCUITS 100 G,'/products/britannia-milk-bikis-biscuits-100-g',biscuits-cookies-britannia,$1.50
BRITANNIA 50 50 SWEET & SALTY 62G,'/products/britannia-50-50-sweet-salty-62g',biscuits-cookies-britannia,$1.50
BRITANNIA 50 50 SWEET CLASSIC SALTED 312 G,'/products/britannia-50-50-sweet-classic-salted-312-g',biscuits-cookies-britannia,$4.50
"KACCHA MANGO BITE, PARLE, 102.92G",'/products/kaccha-mango-bite-parle-102-92g',biscuits-cookies-britannia,$2.99
Britannia Tiger Glucose Biscuits 600g,'/products/tiger-glucose-biscuits-600g',biscuits-cookies-britannia,$5.95
Britannia Tiger Glucose Biscuits 50g,'/products/tiger-glucose-50g',biscuits-cookies-britannia,$1.00
Britannia Good Day Wonderfulls Biscuits 75g,'/products/wonderfulls-goodday-75g',biscuits-cookies-britannia,$1.75
CADBURY COOKIES DOUBLE CHOC 156G,'/products/cadbury-cookies-double-choc-156g',biscuits-cookies-cadbury,$4.00
Cherab's Kaju Cookies 300g,'/products/kaju-cookies-cherabs-300g',biscuits-cookies-cherab,$4.95
CHERAB'S JEERA COOKIES 300G,'/products/cherab-jeera-cookies-300g',biscuits-cookies-cherab,$5.99
CHERAB'S COCONUT COOKIES 300G,'/products/cherab-coconut-cookies300gram',biscuits-cookies-cherab,$5.99
CHERAB'S ATTA BISCUITS 320G,'/products/cherab-atta-biscuits-320g',biscuits-cookies-cherab,$5.99
CHERAB'S ATTA BISCUITS 1KG,'/products/cherab-atta-biscuits-1kg',biscuits-cookies-cherab,$12.95
CHERAB'S AJWAIN COOKIES 320G,'/products/cherab-ajwain-cookies-320gram',biscuits-cookies-cherab,$5.99
Karachi Osmania Biscuits 400g,'/products/osmania-biscuits-karachi-400g',biscuits-cookies-karachi,$5.99
Karachi Kaju Badam Biscuits 400g,'/products/kaju-badam-biscuits-karachi',biscuits-cookies-karachi,$5.99
Karachi's Almond Biscuits 400g,'/products/almond-biscuits-karachis-400g',biscuits-cookies-karachi,$5.99
OREO RED VELVET 137G,'/products/orio-red-velvet-137g',biscuits-cookies-oreo,$2.15
OREO ORIGINAL VANILLA 137G,'/products/oreo-original-vanilla-137g',biscuits-cookies-oreo,$2.15
OREO ORIGINAL 137G,'/products/oreo-original',biscuits-cookies-oreo,$2.15
OREO CHOC SPLIT 137G,'/products/oreo-choc-split-137g',biscuits-cookies-oreo,$2.15
Tim Tam Dark Biscuits 200g,'/products/tim-tam-dark-200g',biscuits-cookies-others,$4.00
RITZ ORIGINAL CRACKERS 100G,'/products/ritz-original-crackers-100g',biscuits-cookies-others,$1.50
RITZ CHOC FLAVOURED 118G,'/products/ritz-choc-flavoured118gram',biscuits-cookies-others,$1.50
PARLE HIDE & SEEK CHOCOLATE BISCUITS VALUE PACK,'/products/parlehide-seek-chocolate-biscuits-value-pack',biscuits-cookies-parle,$5.95
PARLE KRACKJACK BISCUITS VALUE PACK,'/products/parle-krackjack-biscuits-value-pack',biscuits-cookies-parle,$4.50
PARLE G BISCUIT 799G,'/products/parle-g-biscuit-799g',biscuits-cookies-parle,$5.99
Parle Monaco Biscuits Value Pack,'/products/monaco-biscuits-value-packparle',biscuits-cookies-parle,$4.50
CURRY POWDER MILD BOLSTS 500G,'/products/curry-powder-mild-bolsts-500g',bolsts,$12.95
CURRY POWDER HOT BOLSTS 500G,'/products/curry-powder-hot-bolsts-500g',bolsts,$12.95
"CURRY POWDER MILD, BOLST'S, 100G",'/products/curry-powder-mild-bolsts-100g',bolsts,$4.50
"CURRY POWDER HOT, BOLSTS, 100G",'/products/curry-powder-hot-bolsts-100g',bolsts,$4.50
"GARAM MASALA, BRAHMINS, 100G",'/products/garam-masala-brahmins-100g',brahmin,$3.95
"SAMBAR POWDER, BRAHMINS, 200G",'/products/sambar-powder-brahmins-200g',brahmin,$3.75
TURMERIC POWDER BRAHMINS 250G,'/products/turmeric-powder-brahmins-250g',brahmin,$3.50
PICKLE POWDER BRAHMINS 100G,'/products/pickle-powder-brahmins-100g',brahmin,$2.75
"RASAM POWDER, BRAHMINS, 100G",'/products/rasam-powder-brahmins-100g',brahmin,$2.50
"CHUTNEY POWDER, BRAHMINS, 100G",'/products/chutney-powder-brahmins-100g',brahmin,$2.99
CORN FLAKES KELLOGG'S 725 G,'/products/corn-flakes-kelloggs-725-g',breakfast-cereals,$4.99
WEET BIX 1.12kg,'/products/weet-bix-1-12kg',breakfast-cereals,$6.50
WEET BIX 375G,'/products/weet-bix',breakfast-cereals,$3.99
ROLLED OATS LOWAN 1KG,'/products/rolled-oats-lowan-1kg',breakfast-cereals,$4.50
KELLOGG'S SULTANA BRAN CREREAL 500G,'/products/kelloggs-sultana-bran-crereal-500g',breakfast-cereals,$5.85
KELLOGGS RICE BUBBLES 410G,'/products/kelloggs-rice-bubbles-410g',breakfast-cereals,$5.55
KELLOGG'S NUTRI GRAIN 290G,'/products/kelloggs-nutri-grain-290g',breakfast-cereals,$4.95
KELLOGG'S CRUNCHY NUTS CORNFLAKES 670G,'/products/kelloggs-crunchy-nuts-cornflakes-670g',breakfast-cereals,$6.95
KELLOGGS ALL BRAN WHEAT FLAKES 330G,'/products/kelloggs-all-bran-wheat-flakes-330g',breakfast-cereals,$4.70
"Brown Basmati Rice, Daawat 1kg",'/products/daawat-brown-rice-1kg',brown-basmati-rice,$5.95
"Brown Basmati Rice, Daawat 5kg",'/products/daawat-brown-rice-5kg-jar',brown-basmati-rice,$20.95
"BROWN MEDIUM GRAIN RICE, SUN RICE, 1 KG",'/products/brown-medium-grain-rice-sun-rice-1-kg',brown-rice,$3.99
"BROWN LONG GRAIN RICE, SUN RICE, 1 KG",'/products/brown-long-grain-rice',brown-rice,$3.99
UNSALTED BUTTER WESTERN STAR 250G,'/products/unsalted-butter-western-star-250g',butter-cheese,$4.75
SALTED BUTTER 250G WESTERN STAR,'/products/salted-butter-250g-western-star',butter-cheese,$4.75
COON SHRED CHEESE TASTY 250G,'/products/coon-shred-tasty-200gm',butter-cheese,$6.50
"RED COCKTAIL ONION, ROSELLA, 150G",'/products/red-cocktail-onion-rosella-150g',canned-beans-lentils,$2.55
"BUTTER BEANS, ANNALISA, 400G",'/products/butter-beans-annalisa-240g',canned-beans-lentils,$1.55
"CREAMED CORN, BLACK & GOLD, 400G",'/products/creamed-corn-black-gold-400g',canned-beans-lentils,$1.05
"BABY PEAS & CORN, EDGELL, 420G",'/products/baby-peas-corn-edgell-420g',canned-beans-lentils,$2.25
"Mixed Veg, Edgell, 420g",'/products/edgell-mixed-veg-420g',canned-beans-lentils,$2.75
"Corn Kernel Whole, Edgell, 420g",'/products/edgell-corn-kernel-whole-420g',canned-beans-lentils,$2.25
Edgell Brown Lentils 400g,'/products/edgell-lentils-brown-400g',canned-beans-lentils,$2.05
"Annalisa Lentils, 400g",'/products/annalisa-lentils-400g',canned-beans-lentils,$1.50
"CHICK PEAS, ANNALISA, 400G",'/products/annalisa-chickpeas-400g',canned-beans-lentils,$2.00
Monika Shrimp Fry 340g,'/products/shrimp-fry-monika-340g',canned-fish,$4.50
"777 MACKEREL IN TOMATO SAUCE, 400g",'/products/mackerel-in-tomato-sauce',canned-fish,$5.75
